row-num,system-time,total-water,source-water,plains-water,jungle-water,wetlands-water,desert-water,plains-plants-level1-alive,plains-plants-level1-dead,plains-plants-level2-alive,plains-plants-level2-dead,plains-plants-level3-alive,plains-plants-level3-dead,plains-plants-level4-alive,plains-plants-level4-dead,jungle-plants-level1-alive,jungle-plants-level1-dead,jungle-plants-level2-alive,jungle-plants-level2-dead,jungle-plants-level3-alive,jungle-plants-level3-dead,jungle-plants-level4-alive,jungle-plants-level4-dead,wetlands-plants-level1-alive,wetlands-plants-level1-dead,wetlands-plants-level2-alive,wetlands-plants-level2-dead,wetlands-plants-level3-alive,wetlands-plants-level3-dead,wetlands-plants-level4-alive,wetlands-plants-level4-dead,desert-plants-level1-alive,desert-plants-level1-dead,desert-plants-level2-alive,desert-plants-level2-dead,desert-plants-level3-alive,desert-plants-level3-dead,desert-plants-level4-alive,desert-plants-level4-dead,plains-creatures-level1-alive,plains-creatures-level1-dead,plains-creatures-level2-alive,plains-creatures-level2-dead,plains-creatures-level3-alive,plains-creatures-level3-dead,plains-creatures-level4-alive,plains-creatures-level4-dead,jungle-creatures-level1-alive,jungle-creatures-level1-dead,jungle-creatures-level2-alive,jungle-creatures-level2-dead,jungle-creatures-level3-alive,jungle-creatures-level3-dead,jungle-creatures-level4-alive,jungle-creatures-level4-dead,wetlands-creatures-level1-alive,wetlands-creatures-level1-dead,wetlands-creatures-level2-alive,wetlands-creatures-level2-dead,wetlands-creatures-level3-alive,wetlands-creatures-level3-dead,wetlands-creatures-level4-alive,wetlands-creatures-level4-dead,desert-creatures-level1-alive,desert-creatures-level1-dead,desert-creatures-level2-alive,desert-creatures-level2-dead,desert-creatures-level3-alive,desert-creatures-level3-dead,desert-creatures-level4-alive,desert-creatures-level4-dead, plains-plants-level1-ids, plains-plants-level2-ids, plains-plants-level3-ids, plains-plants-level4-ids, jungle-plants-level1-ids, jungle-plants-level2-ids, jungle-plants-level3-ids, jungle-plants-level4-ids, wetlands-plants-level1-ids, wetlands-plants-level2-ids, wetlands-plants-level3-ids, wetlands-plants-level4-ids, desert-plants-level1-ids, desert-plants-level2-ids, desert-plants-level3-ids, desert-plants-level4-ids, plains-creatures-level1-ids, plains-creatures-level2-ids, plains-creatures-level3-ids, plains-creatures-level4-ids, jungle-creatures-level1-ids, jungle-creatures-level2-ids, jungle-creatures-level3-ids, jungle-creatures-level4-ids, wetlands-creatures-level1-ids, wetlands-creatures-level2-ids, wetlands-creatures-level3-ids, wetlands-creatures-level4-ids, desert-creatures-level1-ids, desert-creatures-level2-ids, desert-creatures-level3-ids, desert-creatures-level4-ids
0,0, 2.5,2.8871321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,, T12Q1,,,,,,,,,
1,1, 2.5,2.8276222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,, T12Q1,,,,,,,,,
2,2, 2.5,2.7803784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,, T12Q1,,,,,,,,,
3,3, 2.5,2.7428445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,, T12Q1,,,,,,,,,
4,4, 2.5,2.7096946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,, T12Q1,,,,,,,,,
5,5, 2.5,2.6126839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,, T12Q1,,,,,,,,,
6,6, 2.5,2.5890151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,, T12Q1,,,,,,,,,
7,7, 2.5,2.566784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,, T12Q1,,,,,,,,,
8,8, 2.5,2.5483754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,, T12Q1,,,,,,,,,
9,9, 2.5,2.6461636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,, T12Q1,,,,,,,,,
