,seconds,seconds,seconds,seconds,seconds,seconds,seconds,seconds,seconds,seconds,seconds,seconds,seconds,seconds,_CloudWater,_video_seconds,Desert_Water,Desert_Plants,Desert_lv1,Desert_lv2,Desert_lv3,Desert_lv4,Plains_Water,Plains_Plants,Plains_lv1,Plains_lv2,Plains_lv3,Plains_lv4,Waterfall_Water,Floor_Water,Jungle_Water,Jungle_Plants,Jungle_lv1,Jungle_lv2,Jungle_lv3,Jungle_lv4,Reservoir_Water,Wetlands_Water,Wetlands_Plants,Wetlands_lv1,Wetlands_lv2,Wetlands_lv3,Wetlands_lv4,MountainValley_Water,Plants_level1,Plants_level2,Plants_level3,Plants_level4,Creatures_level1,Creatures_level2,Creatures_level3,Creatures_level4,Desert_Raining,Plains_Raining,Jungle_Raining,Wetlands_Raining,Source_Water,Desert_max_plants,Plains_max_plants,Jungle_max_plants,Wetlands_max_plants,Desert_specific_regime,Desert_specific_theta,Plains_specific_regime,Plains_specific_theta,Jungle_specific_regime,Jungle_specific_theta,Wetlands_specific_regime,Wetlands_specific_theta,regime,theta_Desert,theta_Plains,theta_Jungle,theta_Wetlands,interesting_upper_Desert,interesting_upper_Plains,interesting_upper_Jungle,interesting_upper_Wetlands,interesting_lower_Desert,interesting_lower_Plains,interesting_lower_Jungle,interesting_lower_Wetlands,interesting
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32788,0.0686291,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.10461500000000001,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2.9511241,0.0,0.0,0.0,0.0,4,-0.1570007820503813,6,-0.023229422624362808,3,-0.12770856576580655,1,-0.03605755104463178,0,-0.1570007820503813,-0.023229422624362808,-0.12770856576580655,-0.03605755104463178,0,0,0,0,0,0,0,0,0.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26801,0.0686291,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.100493,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2.8871321,0.0,0.0,0.0,0.0,4,-0.1570007820503813,6,-0.023229422624362808,3,-0.12770856576580655,1,-0.03605755104463178,0,-0.1570007820503813,-0.023229422624362808,-0.12770856576580655,-0.03605755104463178,0,0,0,0,0,0,0,0,0.0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2124599999999996,0.0686291,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0965331,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2.8276221999999995,0.0,0.0,0.0,0.0,4,-0.1570007820503813,6,-0.023229422624362808,3,-0.12770856576580655,1,-0.03605755104463178,0,-0.1570007820503813,-0.023229422624362808,-0.12770856576580655,-0.03605755104463178,0,0,0,0,0,0,0,0,0.0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16902,0.0686291,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0927293,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2.7803784,0.0,0.0,0.0,0.0,4,-0.1570007820503813,6,-0.023229422624362808,3,-0.12770856576580655,1,-0.03605755104463178,0,-0.1570007820503813,-0.023229422624362808,-0.12770856576580655,-0.03605755104463178,0,0,0,0,0,0,0,0,0.0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1351400000000003,0.0686291,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.08907539999999999,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2.7428445000000004,0.0,0.0,0.0,0.0,4,-0.1570007820503813,6,-0.023229422624362808,3,-0.12770856576580655,1,-0.03605755104463178,0,-0.1570007820503813,-0.023229422624362808,-0.12770856576580655,-0.03605755104463178,0,0,0,0,0,0,0,0,0.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1055,0.0686291,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0855655,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2.7096946,0.0,0.0,0.0,0.0,4,-0.1570007820503813,6,-0.023229422624362808,3,-0.12770856576580655,1,-0.03605755104463178,0,-0.1570007820503813,-0.023229422624362808,-0.12770856576580655,-0.03605755104463178,0,0,0,0,0,0,0,0,0.0
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0821939,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2.6126839000000004,0.0,0.0,0.0,0.0,4,-0.1570007820503813,6,-0.023229422624362808,3,-0.12770856576580655,1,-0.03605755104463178,0,-0.1570007820503813,-0.023229422624362808,-0.12770856576580655,-0.03605755104463178,0,0,0,0,0,0,0,0,0.0
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0789551,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2.5890151,0.0,0.0,0.0,0.0,4,-0.1570007820503813,6,-0.023229422624362808,3,-0.12770856576580655,1,-0.03605755104463178,0,-0.1570007820503813,-0.023229422624362808,-0.12770856576580655,-0.03605755104463178,0,0,0,0,0,0,0,0,0.0
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.07584400000000001,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2.566784,0.0,0.0,0.0,0.0,4,-0.1570007820503813,6,-0.023229422624362808,3,-0.12770856576580655,1,-0.03605755104463178,0,-0.1570007820503813,-0.023229422624362808,-0.12770856576580655,-0.03605755104463178,0,0,0,0,0,0,0,0,0.0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0728554,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2.5483754000000003,0.0,0.0,0.0,0.0,4,-0.1570007820503813,6,-0.023229422624362808,3,-0.12770856576580655,1,-0.03605755104463178,0,-0.1570007820503813,-0.023229422624362808,-0.12770856576580655,-0.03605755104463178,0,0,0,0,0,0,0,0,0.0
