seconds,Desert_Water,Plains_Water,Jungle_Water,Wetlands_Water
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0011666666666666668,0.0
14,0.0,0.00016666666666666666,0.0016666666666666668,0.0
15,0.0,0.0023333333333333335,0.002,0.0
16,0.0,0.005333333333333333,0.0018333333333333333,0.0
17,0.0,0.006666666666666667,0.0015,0.0
18,0.0,0.009833333333333333,0.0013333333333333333,0.0006666666666666666
19,0.0005,0.010833333333333334,0.001,0.0026666666666666666
20,0.002,0.011833333333333335,0.0008333333333333334,0.003666666666666667
21,0.004666666666666667,0.014333333333333333,0.0006666666666666666,0.003666666666666667
22,0.006666666666666667,0.018166666666666668,0.0003333333333333333,0.0055000000000000005
23,0.006333333333333334,0.01983333333333333,0.00016666666666666666,0.006000000000000001
24,0.0061666666666666675,0.026166666666666664,0.0,0.006000000000000001
25,0.005666666666666667,0.03216666666666666,0.0,0.006166666666666667
26,0.005666666666666667,0.03216666666666666,0.0,0.006166666666666667
27,0.004666666666666666,0.03933333333333334,0.0,0.006
28,0.004333333333333332,0.0425,0.0,0.006500000000000001
29,0.004333333333333332,0.0425,0.0,0.006500000000000001
30,0.002833333333333333,0.049166666666666664,0.0,0.006333333333333333
31,0.0026666666666666666,0.054000000000000006,0.0,0.006833333333333334
32,0.0026666666666666666,0.054000000000000006,0.0,0.006833333333333334
33,0.0016666666666666668,0.06166666666666666,0.0,0.007333333333333334
34,0.0011666666666666665,0.06633333333333333,0.0,0.007333333333333334
35,0.0011666666666666665,0.06633333333333333,0.0,0.007333333333333334
36,0.0,0.07416666666666667,0.0,0.007666666666666667
37,0.0,0.07866666666666666,0.0,0.008333333333333333
38,0.0,0.07866666666666666,0.0,0.008333333333333333
39,0.0,0.08533333333333334,0.0,0.008333333333333333
40,0.0,0.09066666666666667,0.0,0.008833333333333334
41,0.0,0.09066666666666667,0.0,0.008833333333333334
42,0.0,0.097,0.0,0.008833333333333334
43,0.0,0.10149999999999999,0.0,0.008666666666666666
44,0.0,0.10149999999999999,0.0,0.008666666666666666
45,0.0,0.10833333333333334,0.0,0.008666666666666666
46,0.0,0.11333333333333333,0.0,0.008666666666666666
47,0.0,0.11333333333333333,0.0,0.008666666666666666
48,0.0,0.12116666666666666,0.0,0.008666666666666666
49,0.0,0.12716666666666665,0.0,0.0085
50,0.0,0.1295,0.0,0.0085
